TEMPO;POTENCIA(K-4);POTENCIA(K-3);POTENCIA(K-2);POTENCIA(K-1);POTENCIA;POTENCIA(K+1);POTENCIA(K+2)
03/02/2008;13.89999962;15.89999962;14.60000038;15.80000019;16;16.29999924;16.70000076
10/02/2008;15.89999962;14.60000038;15.80000019;16;16.29999924;16.70000076;17
17/02/2008;14.60000038;15.80000019;16;16.29999924;16.70000076;17;17.10000038
24/02/2008;15.80000019;16;16.29999924;16.70000076;17;17.10000038;17.29999924
02/03/2008;16;16.29999924;16.70000076;17;17.10000038;17.29999924;17.39999962
09/03/2008;16.29999924;16.70000076;17;17.10000038;17.29999924;17.39999962;18.5
16/03/2008;16.70000076;17;17.10000038;17.29999924;17.39999962;18.5;17.92894757
23/03/2008;17;17.10000038;17.29999924;17.39999962;18.5;17.92894757;17.02684157
30/03/2008;17.10000038;17.29999924;17.39999962;18.5;17.92894757;17.02684157;16.39999962
06/04/2008;17.29999924;17.39999962;18.5;17.92894757;17.02684157;16.39999962;16.39999962
13/04/2008;17.39999962;18.5;17.92894757;17.02684157;16.39999962;16.39999962;16.10000038
20/04/2008;18.5;17.92894757;17.02684157;16.39999962;16.39999962;16.10000038;15.69999981
27/04/2008;17.92894757;17.02684157;16.39999962;16.39999962;16.10000038;15.69999981;16.79999924
04/05/2008;17.02684157;16.39999962;16.39999962;16.10000038;15.69999981;16.79999924;15.19999981
11/05/2008;16.39999962;16.39999962;16.10000038;15.69999981;16.79999924;15.19999981;15.69999981
18/05/2008;16.39999962;16.10000038;15.69999981;16.79999924;15.19999981;15.69999981;16
25/05/2008;16.10000038;15.69999981;16.79999924;15.19999981;15.69999981;16;14.60000038
01/06/2008;15.69999981;16.79999924;15.19999981;15.69999981;16;14.60000038;14.60000038
08/06/2008;16.79999924;15.19999981;15.69999981;16;14.60000038;14.60000038;13.69999981
15/06/2008;15.19999981;15.69999981;16;14.60000038;14.60000038;13.69999981;13.30000019
22/06/2008;15.69999981;16;14.60000038;14.60000038;13.69999981;13.30000019;12.89999962
29/06/2008;16;14.60000038;14.60000038;13.69999981;13.30000019;12.89999962;13.60000038
06/07/2008;14.60000038;14.60000038;13.69999981;13.30000019;12.89999962;13.60000038;13.5
13/07/2008;14.60000038;13.69999981;13.30000019;12.89999962;13.60000038;13.5;14
20/07/2008;13.69999981;13.30000019;12.89999962;13.60000038;13.5;14;13.10000038
27/07/2008;13.30000019;12.89999962;13.60000038;13.5;14;13.10000038;13.39999962
03/08/2008;12.89999962;13.60000038;13.5;14;13.10000038;13.39999962;14
10/08/2008;13.60000038;13.5;14;13.10000038;13.39999962;14;14
17/08/2008;13.5;14;13.10000038;13.39999962;14;14;14.30000019
24/08/2008;14;13.10000038;13.39999962;14;14;14.30000019;14.60000038
31/08/2008;13.10000038;13.39999962;14;14;14.30000019;14.60000038;14.80000019
07/09/2008;13.39999962;14;14;14.30000019;14.60000038;14.80000019;15.10000038
14/09/2008;14;14;14.30000019;14.60000038;14.80000019;15.10000038;15.30000019
21/09/2008;14;14.30000019;14.60000038;14.80000019;15.10000038;15.30000019;15.39999962
28/09/2008;14.30000019;14.60000038;14.80000019;15.10000038;15.30000019;15.39999962;14.69999981
05/10/2008;14.60000038;14.80000019;15.10000038;15.30000019;15.39999962;14.69999981;15.30000019
12/10/2008;14.80000019;15.10000038;15.30000019;15.39999962;14.69999981;15.30000019;15.69999981
19/10/2008;15.10000038;15.30000019;15.39999962;14.69999981;15.30000019;15.69999981;16.5
26/10/2008;15.30000019;15.39999962;14.69999981;15.30000019;15.69999981;16.5;16.29999924
02/11/2008;15.39999962;14.69999981;15.30000019;15.69999981;16.5;16.29999924;16.70000076
09/11/2008;14.69999981;15.30000019;15.69999981;16.5;16.29999924;16.70000076;16.60000038
16/11/2008;15.30000019;15.69999981;16.5;16.29999924;16.70000076;16.60000038;16.70000076
23/11/2008;15.69999981;16.5;16.29999924;16.70000076;16.60000038;16.70000076;16.89999962
30/11/2008;16.5;16.29999924;16.70000076;16.60000038;16.70000076;16.89999962;15.89999962
07/12/2008;16.29999924;16.70000076;16.60000038;16.70000076;16.89999962;15.89999962;16.29999924
14/12/2008;16.70000076;16.60000038;16.70000076;16.89999962;15.89999962;16.29999924;15.37894763
21/12/2008;16.60000038;16.70000076;16.89999962;15.89999962;16.29999924;15.37894763;15.17894752
28/12/2008;16.70000076;16.89999962;15.89999962;16.29999924;15.37894763;15.17894752;16.29999924
04/01/2009;16.89999962;15.89999962;16.29999924;15.37894763;15.17894752;16.29999924;16
11/01/2009;15.89999962;16.29999924;15.37894763;15.17894752;16.29999924;16;16.10000038
18/01/2009;16.29999924;15.37894763;15.17894752;16.29999924;16;16.10000038;16.70000076
25/01/2009;15.37894763;15.17894752;16.29999924;16;16.10000038;16.70000076;16.5
01/02/2009;15.17894752;16.29999924;16;16.10000038;16.70000076;16.5;16.79999924
08/02/2009;16.29999924;16;16.10000038;16.70000076;16.5;16.79999924;16.89999962
15/02/2009;16;16.10000038;16.70000076;16.5;16.79999924;16.89999962;15.80000019
22/02/2009;16.10000038;16.70000076;16.5;16.79999924;16.89999962;15.80000019;16.70000076
01/03/2009;16.70000076;16.5;16.79999924;16.89999962;15.80000019;16.70000076;17.10000038
08/03/2009;16.5;16.79999924;16.89999962;15.80000019;16.70000076;17.10000038;17.20000076
