HL 1;HL 2;MSE
5;5;1.57E-04
6;5;1.37E-04
6;6;1.28E-04
7;5;1.36E-04
7;6;1.36E-04
7;7;1.49E-04
8;5;1.37E-04
8;6;1.52E-04
8;7;1.28E-04
8;8;1.27E-04
9;5;1.32E-04
9;6;1.44E-04
9;7;1.39E-04
9;8;1.50E-04
9;9;1.44E-04
10;5;1.40E-04
10;6;1.26E-04
10;7;1.43E-04
10;8;1.42E-04
10;9;1.27E-04
10;10;1.34E-04
11;5;1.66E-04
11;6;1.27E-04
11;7;1.26E-04
11;8;1.28E-04
11;9;1.30E-04
11;10;1.45E-04
11;11;1.26E-04
12;5;1.33E-04
12;6;1.28E-04
12;7;1.27E-04
12;8;1.25E-04
12;9;1.25E-04
12;10;1.27E-04
12;11;1.27E-04
12;12;1.24E-04
13;5;1.26E-04
13;6;1.25E-04
13;7;1.28E-04
13;8;1.28E-04
13;9;1.26E-04
13;10;1.24E-04
13;11;1.25E-04
13;12;1.25E-04
13;13;1.32E-04
14;5;1.25E-04
14;6;1.32E-04
14;7;1.28E-04
14;8;1.26E-04
14;9;1.26E-04
14;10;1.25E-04
14;11;1.28E-04
14;12;1.26E-04
14;13;1.26E-04
14;14;1.30E-04
15;5;1.26E-04
15;6;1.25E-04
15;7;1.29E-04
15;8;1.27E-04
15;9;1.28E-04
15;10;1.29E-04
15;11;1.38E-04
15;12;1.25E-04
15;13;1.25E-04
15;14;1.27E-04
15;15;1.26E-04
16;5;1.25E-04
16;6;1.26E-04
16;7;1.27E-04
16;8;1.26E-04
16;9;1.24E-04
16;10;1.26E-04
16;11;1.25E-04
16;12;1.26E-04
16;13;1.29E-04
16;14;1.25E-04
16;15;1.26E-04
16;16;1.29E-04
